loc,lloc,sloc,comments,multi,blank,code_comment,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time,bugs
41,7,34,4,0,5,45,,,,,,,,,,,,
19,8,11,5,0,4,24,,,,,,,,,,,,
11,7,7,0,0,4,11,,,,,,,,,,,,
14,8,8,0,0,6,14,,,,,,,,,,,,
4,3,3,0,0,1,4,,,,,,,,,,,,
13,12,11,1,0,2,14,,,,,,,,,,,,
1394,743,1091,31,40,238,1425,,,,,,,,,,,,
38,12,29,3,0,6,41,,,,,,,,,,,,
715,223,577,3,25,101,718,,,,,,,,,,,,
1006,354,834,12,15,143,1018,,,,,,,,,,,,
1153,520,978,16,15,147,1169,,,,,,,,,,,,
386,255,305,6,9,67,392,,,,,,,,,,,,
377,161,320,8,0,50,385,,,,,,,,,,,,
1213,405,1073,8,15,117,1221,,,,,,,,,,,,
133,69,106,2,7,18,135,,,,,,,,,,,,
630,287,530,16,6,83,646,,,,,,,,,,,,
53,23,39,0,0,13,53,,,,,,,,,,,,
1043,234,883,3,10,146,1046,,,,,,,,,,,,
1254,555,1028,36,33,151,1290,,,,,,,,,,,,
1526,594,1327,18,18,170,1544,,,,,,,,,,,,
313,193,264,3,16,25,316,,,,,,,,,,,,
356,244,290,8,8,51,364,,,,,,,,,,,,
981,477,793,40,9,136,1021,,,,,,,,,,,,
471,320,363,6,5,99,477,,,,,,,,,,,,
1239,364,1055,10,77,97,1249,,,,,,,,,,,,
159,85,115,9,0,39,168,,,,,,,,,,,,
1245,631,1062,8,6,162,1253,,,,,,,,,,,,
1577,713,1337,25,13,205,1602,,,,,,,,,,,,
335,255,279,10,4,41,345,,,,,,,,,,,,
220,132,183,6,0,31,226,,,,,,,,,,,,
17,11,11,0,0,6,17,,,,,,,,,,,,
77,37,61,1,0,15,78,,,,,,,,,,,,
939,382,804,18,6,111,957,,,,,,,,,,,,
1318,592,1096,14,26,181,1332,,,,,,,,,,,,
484,329,378,2,0,98,486,,,,,,,,,,,,
118,74,84,5,3,25,123,,,,,,,,,,,,
359,200,252,9,16,82,368,,,,,,,,,,,,
230,101,187,1,3,39,231,,,,,,,,,,,,
1211,544,981,48,32,149,1259,,,,,,,,,,,,
1247,615,1053,21,6,166,1268,,,,,,,,,,,,
299,59,239,0,4,55,299,,,,,,,,,,,,
156,61,106,11,0,39,167,,,,,,,,,,,,
86,41,65,0,3,17,86,,,,,,,,,,,,
383,93,293,5,0,85,388,,,,,,,,,,,,
13,10,9,0,3,1,13,,,,,,,,,,,,
12,8,7,0,4,1,12,,,,,,,,,,,,
10,5,4,0,4,2,10,,,,,,,,,,,,
6,4,4,0,0,2,6,,,,,,,,,,,,
509,282,402,31,13,70,540,,,,,,,,,,,,
183,34,164,1,0,18,184,,,,,,,,,,,,
1381,498,1115,12,68,182,1393,,,,,,,,,,,,
1663,589,1369,10,33,246,1673,,,,,,,,,,,,
445,148,379,5,4,59,450,,,,,,,,,,,,
19,6,16,0,0,2,19,,,,,,,,,,,,
269,58,227,0,0,41,269,,,,,,,,,,,,
279,161,214,5,7,51,284,,,,,,,,,,,,
3939,921,3445,19,45,423,3958,,,,,,,,,,,,
66,44,44,1,0,21,67,,,,,,,,,,,,
1448,929,1217,34,17,188,1482,,,,,,,,,,,,
211,147,149,1,0,61,212,,,,,,,,,,,,
