,complexity,token_count,loc,lloc,sloc,comments,multi,blank,code_comment,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time,bugs,change_type,added,removed,defect
0,19,473,182,127,129,0,0,53,182,5,39,21,42,44,63,217,343,2,926,51,0,0,80,0,1
1,19,473,1165,710,800,67,119,181,1232,18,243,153,282,261,435,2000,3492,10,36473,2026,1,0,80,0,1
2,12,234,1392,870,1177,35,17,170,1427,14,494,280,531,508,811,4473,7289,7,54850,3047,2,0,40,0,1
3,62,1372,773,419,590,28,0,166,801,10,204,113,217,214,330,1598,2554,5,13587,754,0,0,282,0,1
4,62,1372,421,273,302,44,34,57,465,17,81,59,107,98,166,583,1098,11,12329,684,0,0,282,0,1
5,9,297,182,127,129,0,0,53,182,5,39,21,42,44,63,217,343,2,926,51,0,0,51,0,1
6,43,971,1392,870,1177,35,17,170,1427,14,494,280,531,508,811,4473,7289,7,54850,3047,2,0,208,0,1
7,40,1319,773,419,590,28,0,166,801,10,204,113,217,214,330,1598,2554,5,13587,754,0,0,283,0,1
8,1,28,127,75,83,2,11,30,129,4,14,7,14,18,21,61,87,2,175,9,0,0,5,0,1
9,1,28,652,304,544,16,6,88,668,6,89,51,101,95,152,591,998,3,3399,188,0,0,5,0,1
10,1,28,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1
11,1,28,8,5,5,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1
12,1,28,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1
13,1,28,14,8,8,0,0,6,14,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1
14,1,28,6,4,4,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1
15,1,28,6,4,4,0,0,2,6,1,2,1,2,3,3,2,4,0,2,0,0,0,5,0,1
16,1,28,6,4,4,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1
17,1,28,7,5,5,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1
18,1,28,6,4,4,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1
19,1,28,10,6,6,0,0,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1
20,1,28,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1
21,1,28,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1
22,1,28,14,10,10,0,0,4,14,1,1,1,1,2,2,0,2,0,1,0,0,0,5,0,1
23,1,28,46,26,30,3,0,12,49,3,6,3,6,9,9,20,28,1,42,2,0,0,5,0,1
24,307,7640,1455,414,1257,16,76,112,1471,5,41,23,46,46,69,231,381,2,1069,59,0,0,2672,0,1
25,307,7640,669,365,481,22,61,110,691,15,103,63,122,118,185,747,1273,8,11311,628,0,0,2672,0,1
26,25,593,1455,414,1257,16,76,112,1471,5,41,23,46,46,69,231,381,2,1069,59,0,0,2394,0,1
27,71,1529,127,75,83,2,11,30,129,4,14,7,14,18,21,61,87,2,175,9,0,0,240,0,1
28,71,1529,652,304,544,16,6,88,668,6,89,51,101,95,152,591,998,3,3399,188,0,0,240,0,1
29,71,1529,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,240,0,1
30,71,1529,8,5,5,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,240,0,1
31,71,1529,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,240,0,1
32,71,1529,14,8,8,0,0,6,14,0,0,0,0,0,0,0,0,0,0,0,0,0,240,0,1
33,71,1529,6,4,4,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,240,0,1
34,71,1529,6,4,4,0,0,2,6,1,2,1,2,3,3,2,4,0,2,0,0,0,240,0,1
35,71,1529,6,4,4,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,240,0,1
36,71,1529,7,5,5,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,240,0,1
37,71,1529,6,4,4,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,240,0,1
38,71,1529,10,6,6,0,0,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,240,0,1
39,71,1529,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,240,0,1
40,71,1529,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,240,0,1
41,71,1529,14,10,10,0,0,4,14,1,1,1,1,2,2,0,2,0,1,0,0,0,240,0,1
42,71,1529,46,26,30,3,0,12,49,3,6,3,6,9,9,20,28,1,42,2,0,0,240,0,1
43,35,478,282,196,195,3,0,86,285,8,130,71,141,138,212,936,1507,4,6538,363,0,0,120,0,1
44,1,96,13,10,10,0,0,3,13,1,2,1,2,3,3,2,4,0,2,0,0,0,12,0,1
45,7,111,44,19,17,0,16,11,44,3,14,7,14,17,21,58,85,1,128,7,0,0,42,0,1
46,4,431,652,304,544,16,6,88,668,6,89,51,101,95,152,591,998,3,3399,188,0,0,74,0,1
47,19,557,14,9,9,0,0,5,14,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,1
48,19,557,16,9,9,0,0,7,16,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,1
49,17,403,1513,682,1277,25,13,200,1538,11,199,116,219,210,335,1557,2584,6,15641,868,0,0,74,0,1
50,17,403,819,519,539,24,98,155,843,15,96,57,106,111,163,690,1107,8,9171,509,0,0,74,0,1
51,14,747,1513,682,1277,25,13,200,1538,11,199,116,219,210,335,1557,2584,6,15641,868,0,0,129,0,1
52,7,179,1450,624,1228,12,26,181,1462,14,306,186,354,320,540,2580,4493,8,36391,2021,1,0,31,0,1
53,4,116,447,308,343,6,5,95,453,7,96,59,111,103,170,651,1136,4,4600,255,0,0,26,0,1
54,4,116,322,174,179,16,74,51,338,10,41,26,46,51,72,252,408,5,2291,127,0,0,26,0,1
55,23,383,1450,624,1228,12,26,181,1462,14,306,186,354,320,540,2580,4493,8,36391,2021,1,0,98,0,1
56,7,305,1513,682,1277,25,13,200,1538,11,199,116,219,210,335,1557,2584,6,15641,868,0,0,49,0,1
57,7,305,819,519,539,24,98,155,843,15,96,57,106,111,163,690,1107,8,9171,509,0,0,49,0,1
58,9,378,15,9,9,0,0,6,15,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,1
59,158,2888,1338,495,1086,10,64,173,1348,11,122,82,157,133,239,883,1686,7,11934,663,0,0,526,0,1
60,6,264,207,111,150,11,0,50,218,5,26,19,36,31,55,133,272,3,943,52,0,0,58,0,1
61,6,264,410,198,237,31,55,97,441,11,63,38,72,74,110,414,683,6,4293,238,0,0,58,0,1
62,30,664,1457,730,1242,11,6,188,1468,10,292,166,329,302,495,2424,4078,5,22973,1276,1,0,148,0,1
63,30,664,74,35,59,1,0,14,75,3,14,7,14,17,21,58,85,1,128,7,0,0,148,0,1
64,30,664,245,125,200,5,7,34,250,7,30,17,34,37,51,166,265,3,1053,58,0,0,148,0,1
65,4,109,1455,414,1257,16,76,112,1471,5,41,23,46,46,69,231,381,2,1069,59,0,0,33,0,1
